t,consumo,produzione
2025-10-01 10:40:30,283,172
2025-10-01 10:41:30,196,194
2025-10-01 10:42:31,115,220
2025-10-01 10:43:30,155,243
2025-10-01 10:44:30,191,278
2025-10-01 10:45:30,239,339
2025-10-01 10:46:30,241,401
2025-10-01 10:47:31,236,445
2025-10-01 10:48:30,240,534
2025-10-01 10:49:30,242,736
2025-10-01 10:50:30,212,845
2025-10-01 10:51:30,163,758
2025-10-01 10:52:31,166,626
2025-10-01 10:53:30,132,579
2025-10-01 10:54:30,159,620
2025-10-01 10:55:30,148,688
2025-10-01 10:56:30,133,766
2025-10-01 10:57:31,116,848
2025-10-01 10:58:30,184,909
2025-10-01 10:59:30,197,909
2025-10-01 11:00:30,290,873
2025-10-01 11:01:30,81,840
2025-10-01 11:02:31,134,837
2025-10-01 11:03:30,189,898
2025-10-01 11:04:30,2358,1033
2025-10-01 11:05:30,2387,1225
2025-10-01 11:06:30,2329,1425
2025-10-01 11:07:31,2320,1555
2025-10-01 11:08:30,2330,1622
2025-10-01 11:09:30,2330,1646
2025-10-01 11:10:30,2247,1591
2025-10-01 11:11:31,2183,1447
2025-10-01 11:12:30,2170,1285
2025-10-01 11:13:30,1917,1158
2025-10-01 11:14:30,173,1051
2025-10-01 11:15:30,226,970
2025-10-01 11:16:31,233,919
2025-10-01 11:17:30,233,919
2025-10-01 11:18:30,336,991
2025-10-01 11:19:30,346,1101
2025-10-01 11:20:31,170,1164
2025-10-01 11:21:30,1186,1104
2025-10-01 11:22:30,2143,979
2025-10-01 11:23:30,2089,843
2025-10-01 11:24:30,2075,758
2025-10-01 11:25:31,2073,766
2025-10-01 11:26:30,2081,872
2025-10-01 11:27:30,2074,1048
2025-10-01 11:28:30,2096,1169
2025-10-01 11:29:30,701,1177
2025-10-01 11:30:31,113,1127
2025-10-01 11:31:30,722,1048
2025-10-01 11:32:30,2111,922
2025-10-01 11:33:30,2116,785
2025-10-01 11:34:30,1988,657
2025-10-01 11:35:31,117,593
2025-10-01 11:36:30,120,575
2025-10-01 11:37:30,1390,569
2025-10-01 11:38:30,2108,565
2025-10-01 11:39:31,2054,584
2025-10-01 11:40:30,2086,655
2025-10-01 11:41:30,2042,784
2025-10-01 11:42:30,2065,899
2025-10-01 11:43:31,2083,994
2025-10-01 11:44:30,821,1027
2025-10-01 11:45:30,144,994
2025-10-01 11:46:30,139,943
2025-10-01 11:47:30,1985,916
2025-10-01 11:48:31,2052,914
2025-10-01 11:49:30,271,929
2025-10-01 11:50:30,106,947
2025-10-01 11:51:30,95,967
2025-10-01 11:52:30,95,987
2025-10-01 11:53:31,95,988
2025-10-01 11:54:30,101,964
2025-10-01 11:55:30,96,929
2025-10-01 11:56:30,95,917
2025-10-01 11:57:31,94,913
2025-10-01 11:58:30,67,943
2025-10-01 11:59:30,61,968
2025-10-01 12:00:30,61,956
2025-10-01 12:01:30,59,940
2025-10-01 12:02:31,59,926
2025-10-01 12:03:30,59,895
2025-10-01 12:04:30,59,904
2025-10-01 12:05:30,59,959
2025-10-01 12:06:30,60,1036
2025-10-01 12:07:31,60,1106
2025-10-01 12:08:30,60,1151
2025-10-01 12:09:30,59,1159
2025-10-01 12:10:30,60,1230
2025-10-01 12:11:30,61,1349
2025-10-01 12:12:31,61,1549
2025-10-01 12:13:30,60,1855
2025-10-01 12:14:30,64,2222
2025-10-01 12:15:30,88,2950
2025-10-01 12:16:30,88,3176
2025-10-01 12:17:31,88,3397
2025-10-01 12:18:30,90,4130
2025-10-01 12:19:30,93,5464
2025-10-01 12:20:30,253,4614
2025-10-01 12:21:30,225,4774
2025-10-01 12:22:31,197,6034
2025-10-01 12:23:30,134,4573
2025-10-01 12:24:30,128,4291
2025-10-01 12:25:30,116,6023
2025-10-01 12:26:30,126,6032
2025-10-01 12:27:31,135,6030
2025-10-01 12:28:30,138,5939
2025-10-01 12:29:30,138,6030
2025-10-01 12:30:30,138,5906
2025-10-01 12:31:31,134,4145
2025-10-01 12:32:30,135,5125
2025-10-01 12:33:30,133,4020
2025-10-01 12:34:30,167,3211
2025-10-01 12:35:30,271,2882
2025-10-01 12:36:31,217,2889
2025-10-01 12:37:30,167,3202
2025-10-01 12:38:30,169,3803
2025-10-01 12:39:30,169,4652
2025-10-01 12:40:31,156,4124
2025-10-01 12:41:30,217,5399
2025-10-01 12:42:30,160,6026
2025-10-01 12:43:30,160,6028
2025-10-01 12:44:30,160,6026
2025-10-01 12:45:31,169,6025
2025-10-01 12:46:30,169,5814
2025-10-01 12:47:30,163,6127
2025-10-01 12:48:30,164,6026
2025-10-01 12:49:31,169,5993
2025-10-01 12:50:30,164,3757
2025-10-01 12:51:30,173,4830
2025-10-01 12:52:30,198,6026
2025-10-01 12:53:30,198,6024
2025-10-01 12:54:31,164,6025
2025-10-01 12:55:30,164,6025
2025-10-01 12:56:30,158,3727
2025-10-01 12:57:30,159,3958
2025-10-01 12:58:31,157,3378
2025-10-01 12:59:30,158,3638
2025-10-01 13:00:30,167,5969
2025-10-01 13:01:30,160,5387
2025-10-01 13:02:30,160,5612
2025-10-01 13:03:30,157,4186
2025-10-01 13:04:31,158,4537
2025-10-01 13:05:30,158,3472
2025-10-01 13:06:30,155,3082
2025-10-01 13:07:30,140,5660
2025-10-01 13:08:30,125,3745
2025-10-01 13:09:31,123,2851
2025-10-01 13:10:30,123,2811
2025-10-01 13:11:30,125,3473
2025-10-01 13:12:30,131,6012
2025-10-01 13:13:30,130,5636
2025-10-01 13:14:30,127,4693
2025-10-01 13:15:31,125,4217
2025-10-01 13:16:30,124,4003
2025-10-01 13:17:30,126,3642
2025-10-01 13:18:30,126,3488
2025-10-01 13:19:30,127,3907
2025-10-01 13:20:31,234,3428
2025-10-01 13:21:30,252,3346
2025-10-01 13:22:30,179,3396
2025-10-01 13:23:30,158,3580
2025-10-01 13:24:30,162,3938
2025-10-01 13:25:31,165,4126
2025-10-01 13:26:30,167,4659
2025-10-01 13:27:30,163,2981
2025-10-01 13:28:30,160,2490
2025-10-01 13:29:30,160,2544
2025-10-01 13:30:31,160,2860
2025-10-01 13:31:30,161,3162
