nohup: ignoring input
[26-01-13 06:41] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 06:51] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 07:01] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 07:11] T=19.8, t_set=20.0, pump_on=False Action=Accendo
[26-01-13 07:21] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-13 07:31] T=19.8, t_set=20.0, pump_on=False Action=Accendo
[26-01-13 07:41] T=19.6, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 07:51] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 08:01] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 08:11] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 08:21] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 08:31] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 08:41] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-13 08:51] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 09:01] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 09:11] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 09:21] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 09:31] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 09:41] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 09:51] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-13 10:01] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 10:11] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 10:21] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 10:31] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 10:41] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 10:51] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 11:01] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 11:11] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 11:21] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 11:31] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-13 11:41] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 11:51] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 12:01] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 12:11] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 12:21] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 12:31] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 12:41] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 12:51] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 13:01] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 13:11] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 13:21] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-13 13:31] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 13:41] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 13:51] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 14:01] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 14:11] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 14:21] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 14:31] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 14:41] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 14:51] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 15:01] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-13 15:11] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 15:21] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 15:31] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 15:41] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 15:51] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 16:01] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 16:11] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 16:21] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 16:31] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 16:41] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 16:51] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 17:01] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 17:11] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-13 17:22] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 17:32] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 17:42] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 17:52] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 18:02] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 18:12] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 18:22] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 18:32] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-13 18:42] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 18:52] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 19:02] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 19:12] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 19:22] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 19:32] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 19:42] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 19:52] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 20:02] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 20:12] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 20:22] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 20:32] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-13 20:42] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 20:52] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 21:02] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 21:12] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 21:22] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 21:32] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 21:42] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 21:52] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 22:02] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 22:12] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 22:22] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-13 22:32] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 22:42] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 22:52] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 23:02] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 23:12] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 23:22] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 23:32] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 23:42] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 23:52] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 00:02] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 00:12] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 00:22] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 00:32] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-14 00:42] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 00:52] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 01:02] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 01:12] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 01:22] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 01:32] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 01:42] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 01:52] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
Errore POST
[26-01-14 02:02] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 02:12] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 02:22] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-14 02:32] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 02:42] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 02:52] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 03:02] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 03:12] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 03:22] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 03:32] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 03:42] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 03:52] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 04:02] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 04:12] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 04:22] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-14 04:33] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 04:43] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 04:53] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
